model,a1,a2,a3
10_1.0_1_1,"Mean: 0.4832, Std Dev: 0.118","Mean: 0.3034, Std Dev: 0.084","Mean: 0.2011, Std Dev: 0.0816"
10_1.0_1_2,"Mean: 0.4942, Std Dev: 0.1173","Mean: 0.3044, Std Dev: 0.083","Mean: 0.2011, Std Dev: 0.0816"
10_1.0_1_3,"Mean: 0.4958, Std Dev: 0.1168","Mean: 0.304, Std Dev: 0.0828","Mean: 0.2011, Std Dev: 0.0816"
10_1.0_2_1,"Mean: 0.5089, Std Dev: 0.1214","Mean: 0.3057, Std Dev: 0.0836","Mean: 0.2011, Std Dev: 0.0816"
10_1.0_2_2,"Mean: 0.493, Std Dev: 0.116","Mean: 0.3034, Std Dev: 0.0822","Mean: 0.2011, Std Dev: 0.0816"
10_1.0_2_3,"Mean: 0.4967, Std Dev: 0.1195","Mean: 0.3044, Std Dev: 0.0838","Mean: 0.2011, Std Dev: 0.0816"
10_1.0_3_1,"Mean: 0.4927, Std Dev: 0.1173","Mean: 0.3046, Std Dev: 0.0831","Mean: 0.2011, Std Dev: 0.0816"
10_1.0_3_2,"Mean: 0.5008, Std Dev: 0.1204","Mean: 0.3045, Std Dev: 0.0832","Mean: 0.2011, Std Dev: 0.0816"
10_1.0_3_3,"Mean: 0.5003, Std Dev: 0.1186","Mean: 0.305, Std Dev: 0.0842","Mean: 0.2011, Std Dev: 0.0816"
