model,d1_1,d1_2,d1_3,d2_1,d2_2,d2_3,d3_1,d3_2,d3_3
10_1.0_1_1,"Mean: 0.719, Std Dev: 0.0823","Mean: 0.3968, Std Dev: 0.1504","Mean: 0.2093, Std Dev: 0.0999","Mean: 0.7883, Std Dev: 0.0435","Mean: 0.5917, Std Dev: 0.0934","Mean: 0.4608, Std Dev: 0.1105","Mean: 0.8283, Std Dev: 0.0481","Mean: 0.7005, Std Dev: 0.08","Mean: 0.5983, Std Dev: 0.0841"
10_1.0_1_2,"Mean: 0.7244, Std Dev: 0.0773","Mean: 0.411, Std Dev: 0.1529","Mean: 0.2145, Std Dev: 0.1045","Mean: 0.7912, Std Dev: 0.0403","Mean: 0.5964, Std Dev: 0.0881","Mean: 0.4612, Std Dev: 0.1101","Mean: 0.8285, Std Dev: 0.0477","Mean: 0.7008, Std Dev: 0.0794","Mean: 0.5983, Std Dev: 0.0841"
10_1.0_1_3,"Mean: 0.7235, Std Dev: 0.0776","Mean: 0.4027, Std Dev: 0.1515","Mean: 0.2128, Std Dev: 0.1029","Mean: 0.7895, Std Dev: 0.0434","Mean: 0.5966, Std Dev: 0.0883","Mean: 0.4615, Std Dev: 0.1098","Mean: 0.8279, Std Dev: 0.0487","Mean: 0.7009, Std Dev: 0.0791","Mean: 0.5983, Std Dev: 0.0841"
10_1.0_2_1,"Mean: 0.7232, Std Dev: 0.0841","Mean: 0.4095, Std Dev: 0.1509","Mean: 0.2134, Std Dev: 0.1027","Mean: 0.7882, Std Dev: 0.045","Mean: 0.5948, Std Dev: 0.0892","Mean: 0.4612, Std Dev: 0.1101","Mean: 0.8278, Std Dev: 0.0489","Mean: 0.7001, Std Dev: 0.0807","Mean: 0.5983, Std Dev: 0.0841"
10_1.0_2_2,"Mean: 0.7209, Std Dev: 0.0833","Mean: 0.4065, Std Dev: 0.1533","Mean: 0.2125, Std Dev: 0.1021","Mean: 0.7886, Std Dev: 0.0449","Mean: 0.5952, Std Dev: 0.0896","Mean: 0.4611, Std Dev: 0.1102","Mean: 0.8278, Std Dev: 0.0489","Mean: 0.7005, Std Dev: 0.08","Mean: 0.5983, Std Dev: 0.0841"
10_1.0_2_3,"Mean: 0.7212, Std Dev: 0.0806","Mean: 0.406, Std Dev: 0.1528","Mean: 0.2113, Std Dev: 0.1011","Mean: 0.7896, Std Dev: 0.0416","Mean: 0.5939, Std Dev: 0.0896","Mean: 0.4614, Std Dev: 0.1099","Mean: 0.8279, Std Dev: 0.0487","Mean: 0.7003, Std Dev: 0.0804","Mean: 0.5983, Std Dev: 0.0841"
10_1.0_3_1,"Mean: 0.7244, Std Dev: 0.0782","Mean: 0.4102, Std Dev: 0.1517","Mean: 0.2141, Std Dev: 0.1042","Mean: 0.7918, Std Dev: 0.0387","Mean: 0.5973, Std Dev: 0.0865","Mean: 0.461, Std Dev: 0.1103","Mean: 0.8288, Std Dev: 0.0473","Mean: 0.7009, Std Dev: 0.0792","Mean: 0.5983, Std Dev: 0.0841"
10_1.0_3_2,"Mean: 0.7241, Std Dev: 0.0769","Mean: 0.4087, Std Dev: 0.1504","Mean: 0.2133, Std Dev: 0.1032","Mean: 0.7912, Std Dev: 0.0401","Mean: 0.5978, Std Dev: 0.088","Mean: 0.4614, Std Dev: 0.1099","Mean: 0.8285, Std Dev: 0.0477","Mean: 0.7009, Std Dev: 0.0791","Mean: 0.5983, Std Dev: 0.0841"
10_1.0_3_3,"Mean: 0.7166, Std Dev: 0.0806","Mean: 0.4032, Std Dev: 0.1476","Mean: 0.2118, Std Dev: 0.1012","Mean: 0.7896, Std Dev: 0.0419","Mean: 0.5948, Std Dev: 0.0892","Mean: 0.4613, Std Dev: 0.11","Mean: 0.828, Std Dev: 0.0486","Mean: 0.7002, Std Dev: 0.0805","Mean: 0.5983, Std Dev: 0.0841"
